Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
MASK,"10,23 Blond Très Clair Platiné Irisé Doré",3,0,,13.8,41.4,8004608251439,Stock technique,20.00 %
MASK,"0,25 Intensifier violet",0,0,,0,0,8004608247531,Stock technique,20.00 %
MASK,"0,18 Intensifier cendré foncé cendré foncé",1,0,,13.8,13.8,8004608260868,Stock technique,20.00 %
MASK,"0,66 Intensifier rouge",1,0,,13.8,13.8,8004608247524,Stock technique,20.00 %
MASK,Activateur 20 vol,3,0,,10.9,32.7,8004608251842,Stock technique,20.00 %
MASK,Activateur 10 vol0,4,0,,10.9,43.6,8004608251835,Stock technique,20.00 %
MASK,Activateur 30 vol,4,0,,10.9,43.6,8004608251859,Stock technique,20.00 %
VIEW,"VIEW 3,0 Châtain foncé",2,0,,10.3,20.6,8004608259930,Stock technique,20.00 %
VIEW,"VIEW 4,45 Châtain cuivré acajou",1,0,,10.3,10.3,8004608260202,Stock technique,20.00 %
VIEW,"VIEW 5,0 Châtain clair",2,0,,10.3,20.6,8004608259954,Stock technique,20.00 %
VIEW,"VIEW 5,3 Châtain clair doré",2,0,,10.3,20.6,8004608260097,Stock technique,20.00 %
VIEW,"VIEW 5,34 Châtain clair doré cuivré",2,0,,10.3,20.6,8004608260141,Stock technique,20.00 %
VIEW,"VIEW 5,4 Chatain clair cuivé",5,0,,10.3,51.5,8004608276708,Stock technique,20.00 %
VIEW,"VIEW 5,65 Châtain clair rouge acajou",1,0,,10.3,10.3,8004608260233,Stock technique,20.00 %
VIEW,"VIEW 6,44 Blond foncé cuivré intense",3,0,,10.3,30.9,8004608260196,Stock technique,20.00 %
VIEW,"VIEW 6,66 Blond foncé rouge intense",2,0,,10.3,20.6,8004608260240,Stock technique,20.00 %
VIEW,"VIEW 7,0 Blond",3,0,,10.3,30.9,8004608259978,Stock technique,20.00 %
VIEW,"VIEW 7,11 Blond cendré intense",0,0,,0,0,8004608260011,Stock technique,20.00 %
VIEW,"VIEW 7,21 Blond irisé cendré",0,0,,0,0,8004608262121,Stock technique,20.00 %
VIEW,"VIEW 7,34 Blond doré cuivré",1,0,,10.3,10.3,8004608269298,Stock technique,20.00 %
VIEW,"VIEW 8,0 Blond clair",4,0,,10.3,41.2,8004608259985,Stock technique,20.00 %
VIEW,"VIEW 8,1 Blond clair cendré",2,0,,10.3,20.6,8004608260004,Stock technique,20.00 %
VIEW,"VIEW 8,18 Blond clair cendré vert",0,0,,0,0,8004608260073,Stock technique,20.00 %
VIEW,"VIEW 8,23 Blond clair irisé doré",0,0,,0,0,8004608260110,Stock technique,20.00 %
VIEW,"VIEW 9,0 Blond très clair",3,0,,10.3,30.9,8004608259992,Stock technique,20.00 %
VIEW,"VIEW 9,22 Blond très clair irisé intense",0,0,,0,0,8004608260080,Stock technique,20.00 %
VIEW,View 10,2,0,,9.7,19.4,,Stock technique,20.00 %
VIEW,"Wiew 10,1",3,0,,9.7,29.1,,Stock technique,20.00 %
VIEW,"VIEW 10,21 Blond très clair irisé cendré",0,0,,0,0,8004608271840,Stock technique,20.00 %
VIEW,"View 10,27",0,0,,0,0,,Stock technique,20.00 %
VIEW,View Quartz,2,0,,9.7,19.4,8004608260288,Stock technique,20.00 %
VIEW,View Steel,2,0,,9.7,19.4,8004608262145,Stock technique,20.00 %
VIEW,VIEW Ruby,1,0,,10,10,8004608276678,Stock technique,20.00 %
VIEW,Wiew steel,2,0,,,,8004608262145,Stock technique,20.00 %
VIEW,VIEW Bronze,1,0,,10,10,8004608276685,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Detoxifying Shampooing,1,0,,32.1,32.1,8004608256663,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Rebalancing Shampooing,2,0,,32.1,64.2,8004608256670,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Renewing Shampooing,0,0,,0,0,8004608255109,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Renewing Conditionneur Traitement,1,0,,46.6,46.6,8004608255123,Stock technique,20.00 %
